,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,hostdec,has_host?,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability
9295,0.118666667,0.440333333,0.255333333,0.185666667,ZTF19acxysdc,205.2151361,46.17718689,True,Object Not Found,0.08,0.444,0.076,0.4
9296,0.188,0.482333333,0.198333333,0.131333333,ZTF18aczeraw,234.218156,46.06488221,True,Object Not Found,0.224,0.258,0.284,0.234
9297,0.133,0.459333333,0.311666667,0.096,ZTF18aclkdrz,134.0028513,25.08995731,True,Object Not Found,0.268,0.158,0.436,0.138
9298,0.157333333,0.607,0.196666667,0.039,ZTF19achtifr,175.1904117,5.13999915,True,Object Not Found,0.156,0.36,0.176,0.308
9299,0.073,0.425333333,0.487666667,0.014,ZTF19acaqqke,147.4243327,15.40545391,True,Object Not Found,0.146,0.352,0.324,0.178
9300,0.666333333,0.145,0.095666667,0.093,ZTF19acblskx,29.49034116,57.10673841,True,Object Not Found,0.51,0.096,0.344,0.05
9301,0.484,0.160666667,0.144,0.211333333,ZTF19aabyqsw,172.0330989,16.81971804,True,Object Not Found,0.36,0.212,0.228,0.2
9302,0.695333333,0.098,0.11,0.096666667,ZTF19acynipo,6.6805169,39.27408965,True,Object Not Found,0.6,0.082,0.238,0.08
9303,0.628666667,0.165666667,0.188,0.017666667,ZTF20aattyyx,221.0088048,30.35401353,True,Object Not Found,0.384,0.19,0.258,0.168
9304,0.302333333,0.267,0.419333333,0.011333333,ZTF19adcduoj,168.2808498,8.05820268,True,Object Not Found,0.268,0.186,0.4,0.146
9305,0.472666667,0.277,0.246333333,0.004,ZTF20aaawfzb,209.8671042,81.36506763,True,Object Not Found,0.282,0.234,0.144,0.34
9306,0.517333333,0.143,0.161,0.178666667,ZTF20aadckor,171.1978823,32.68572683,True,Object Not Found,0.37,0.132,0.366,0.132
9307,0.454,0.175666667,0.357666667,0.012666667,ZTF19abhxtny,342.36434,24.00816667,True,Object Not Found,0.404,0.156,0.27,0.17
9308,0.502666667,0.085333333,0.382333333,0.029666667,ZTF19abcunya,215.1370593,25.34413192,True,Object Not Found,0.384,0.142,0.332,0.142
9309,0.620666667,0.089333333,0.277,0.013,ZTF19aanuuqb,231.4615548,8.39543829,True,Object Not Found,,,,
9310,0.657666667,0.121666667,0.194,0.026666667,ZTF19aalnozg,195.33148,51.03559017,True,Object Not Found,0.236,0.196,0.354,0.214
9311,0.410666667,0.238,0.221666667,0.129666667,ZTF19aaoxxsh,166.9450172,15.74943049,True,Object Not Found,0.23,0.214,0.184,0.372
9312,0.486666667,0.126666667,0.358666667,0.028,ZTF19abaaojn,281.7722203,59.74102753,True,Object Not Found,0.434,0.192,0.212,0.162
9313,0.334666667,0.195,0.430666667,0.039666667,ZTF19aavhvkd,154.8517421,44.4035935,True,SN II,0.444,0.116,0.376,0.064
