,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4602,False,ZTF19aabyvbf,No Classification,SN Ia,0.711,0.14,0.096,0.053,SNIa,0.472,0.142,0.288,0.098,0.081612
4603,False,ZTF19abmpyne,Object Not Found,SLSN,0.113,0.283,0.223,0.381,SLSN,0.222,0.266,0.216,0.296,No Redshift
4604,False,ZTF19abrcpnj,SN Ia,SN Ia,0.471,0.087,0.332,0.11,SNIa,0.418,0.192,0.26,0.13,0.134
4605,False,ZTF19aavqiuw,SN Ia,SN Ib/c,0.358,0.169,0.423,0.05,SNIa,0.362,0.208,0.298,0.132,0.0462
4606,False,ZTF19aarjfqe,SN II,SN II,0.103,0.554,0.159,0.184,SNII,0.27,0.32,0.208,0.202,0.02138
4607,False,ZTF20aabqiti,SN Ia,SN Ia,0.312,0.268,0.219,0.201,SNII,0.24,0.298,0.278,0.184,0.05
4608,False,ZTF19acjurot,SN Ia,SN Ia,0.373,0.171,0.179,0.277,SNIa,0.396,0.202,0.238,0.164,0.055
4609,False,ZTF20aakseoc,Object Not Found,SN II,0.267,0.324,0.243,0.166,SNII,0.282,0.31,0.23,0.178,No Redshift
4610,False,ZTF19aanxgle,No Classification,SN Ia,0.515,0.155,0.102,0.228,SNIa,0.326,0.23,0.216,0.228,No Redshift
4611,False,ZTF18acskwkj,Object Not Found,SN Ia,0.431,0.158,0.306,0.105,SNIa,0.346,0.144,0.318,0.192,No Redshift
4612,False,ZTF19abfffna,Object Not Found,SN Ib/c,0.335,0.216,0.395,0.054,SNIbc,0.304,0.212,0.37,0.114,No Redshift
4613,False,ZTF18abmjzjq,Object Not Found,SN Ia,0.552,0.153,0.173,0.122,SNIa,0.432,0.178,0.28,0.11,No Redshift
4614,False,ZTF18acukimh,Object Not Found,SN Ib/c,0.282,0.265,0.297,0.156,SNIa,0.4,0.176,0.334,0.09,No Redshift
4615,False,ZTF18abjjyhb,Object Not Found,SN Ia,0.409,0.21,0.289,0.092,SNIa,0.402,0.18,0.318,0.1,No Redshift
4616,False,ZTF18acrdlrp,SN Ia,SN Ib/c,0.289,0.206,0.307,0.198,SNIbc,0.29,0.26,0.35,0.1,0.01918
4617,False,ZTF19aaxrfvd,No Classification,SN Ib/c,0.372,0.188,0.374,0.066,SNIbc,0.344,0.186,0.364,0.106,No Redshift
